Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Afghanistan,AFG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,813.550256,747.6880455,926.507941,966.9620321,971.633503,1076.087353,1121.834471,1286.949843,1333.747267,1570.698145,1765.538028,1744.060623,1988.429304,2133.241271,2224.490748,2284.075848,2213.181441,2335.795862,2432.276701,2583.485332,2561.981761,2144.16657,2122.995815,2201.722907,..,..
Afghanistan,AFG,GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,7548.716782,6815.205362,8321.856529,8516.673357,8317.100255,8911.529284,8972.000332,9950.451472,10041.75092,11642.27899,12807.82329,12278.90928,13171.55442,13315.67541,13059.32959,12870.56955,12858.09105,12864.5667,13031.19582,13572.91114,13526.93964,10677.64542,10863.25179,10810.38195,..,..
Afghanistan,AFG,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,32567375970,29495629513,37931379899,41281584746,41865355064,46566715049,49061481754,55844878996,58036781460,70451155677,80569661677,80913174278,91231454558,96341095376,98965950295,1.00402E+11,1.02672E+11,1.05389E+11,1.06643E+11,1.10814E+11,1.08209E+11,85767546198,80415503801,82238478028,..,..
Afghanistan,AFG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,16377032684,15166333855,19806995164,21981995256,22892320780,26261445895,28521625037,33344679967,35321124705,43140953896,49936634725,51184181904,60766467131,67458857273,72946664022,77274315044,76798750471,83362066704,89369237678,97800733345,1.00094E+11,85767546198,86148711749,91271896894,..,..
Afghanistan,AFG,GDP: linked series (current LCU),NY.GDP.MKTP.CN.AD,1.67044E+11,1.33475E+11,1.82163E+11,2.21359E+11,2.49792E+11,3.08163E+11,3.48048E+11,4.85419E+11,5.15047E+11,6.11692E+11,7.26231E+11,8.50347E+11,1.02879E+12,1.13881E+12,1.17647E+12,1.22276E+12,1.22292E+12,1.28546E+12,1.32769E+12,1.4696E+12,1.53497E+12,1.25117E+12,1.28344E+12,1.35091E+12,..,..
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,1160.420471,1326.416524,1479.838846,1908.699007,2446.909499,2741.721365,3057.77257,3743.055299,4498.504868,4213.650076,4149.144699,4465.709143,4280.933163,4542.929036,4793.597511,4199.539129,4457.634122,5006.36013,5897.654526,6069.439031,6027.913507,7242.455131,7756.961887,9730.869219,11377.77574,..
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,8.149967935,9.890193571,4.942622963,5.728105981,5.707123084,5.67025028,6.689981397,7.307982629,7.730561614,3.385115395,3.485648086,2.739532557,2.554538669,3.288890315,3.830170229,3.817434471,5.524825981,4.889352881,5.283579496,3.649758085,-1.810165363,10.66414943,6.456988221,5.632935443,5.663959048,..
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,3584570165,4059064033,4515003117,5801712040,7406645793,8256658250,9150528132,11116937870,13258506375,12335540656,12086545641,12973755875,12246499748,12796985886,13296322588,11470171827,11988668785,13258268436,15379508330,15585111614,15241458745,18031989573,19017247014,23491242727,27046429297,..
